FlightDate,date_id,period,side,metric,metric_label,unit,scale,ewr_minus_control_gap,reference_gap,dynamic_contrast,dynamic_contrast_scaled
2025-03-18,2025-03-18,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,52.48979591836735,28.281341107871715,24.208454810495635,24.208454810495635
2025-03-19,2025-03-19,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,51.65306122448982,28.281341107871715,23.371720116618103,23.371720116618103
2025-03-20,2025-03-20,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,37.81632653061223,28.281341107871715,9.534985422740515,9.534985422740515
2025-03-21,2025-03-21,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,39.081632653061206,28.281341107871715,10.800291545189491,10.800291545189491
2025-03-22,2025-03-22,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,22.081632653061206,28.281341107871715,-6.199708454810509,-6.199708454810509
2025-03-23,2025-03-23,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,36.71428571428572,28.281341107871715,8.432944606414008,8.432944606414008
2025-03-24,2025-03-24,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,39.71428571428572,28.281341107871715,11.432944606414008,11.432944606414008
2025-03-25,2025-03-25,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,53.40816326530614,28.281341107871715,25.12682215743443,25.12682215743443
2025-03-26,2025-03-26,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,52.28571428571428,28.281341107871715,24.004373177842563,24.004373177842563
2025-03-27,2025-03-27,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,37.85714285714283,28.281341107871715,9.575801749271118,9.575801749271118
2025-03-28,2025-03-28,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,39.0408163265306,28.281341107871715,10.759475218658888,10.759475218658888
2025-03-29,2025-03-29,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,21.0204081632653,28.281341107871715,-7.260932944606413,-7.260932944606413
2025-03-30,2025-03-30,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,20.040816326530603,28.281341107871715,-8.240524781341112,-8.240524781341112
2025-03-31,2025-03-31,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,19.469387755102048,28.281341107871715,-8.811953352769667,-8.811953352769667
2025-04-01,2025-04-01,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,33.77551020408163,28.281341107871715,5.494169096209912,5.494169096209912
2025-04-02,2025-04-02,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,30.571428571428555,28.281341107871715,2.2900874635568407,2.2900874635568407
2025-04-03,2025-04-03,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,15.979591836734699,28.281341107871715,-12.301749271137016,-12.301749271137016
2025-04-04,2025-04-04,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,14.367346938775484,28.281341107871715,-13.913994169096231,-13.913994169096231
2025-04-05,2025-04-05,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,19.734693877551024,28.281341107871715,-8.54664723032069,-8.54664723032069
2025-04-06,2025-04-06,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,12.653061224489818,28.281341107871715,-15.628279883381897,-15.628279883381897
2025-04-07,2025-04-07,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,14.081632653061206,28.281341107871715,-14.199708454810509,-14.199708454810509
2025-04-08,2025-04-08,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,33.0,28.281341107871715,4.7186588921282855,4.7186588921282855
2025-04-09,2025-04-09,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,25.387755102040842,28.281341107871715,-2.8935860058308727,-2.8935860058308727
2025-04-10,2025-04-10,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,12.18367346938777,28.281341107871715,-16.097667638483944,-16.097667638483944
2025-04-11,2025-04-11,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,12.51020408163265,28.281341107871715,-15.771137026239064,-15.771137026239064
2025-04-12,2025-04-12,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,25.448979591836746,28.281341107871715,-2.832361516034968,-2.832361516034968
2025-04-13,2025-04-13,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,11.285714285714278,28.281341107871715,-16.995626822157437,-16.995626822157437
2025-04-14,2025-04-14,reference,arr,scheduled_ops,Scheduled operations,ops/day,1.0,8.224489795918373,28.281341107871715,-20.05685131195334,-20.05685131195334
2025-04-15,2025-04-15,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,7.510204081632651,28.281341107871715,-20.771137026239064,-20.771137026239064
2025-04-16,2025-04-16,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,5.3673469387754835,28.281341107871715,-22.91399416909623,-22.91399416909623
2025-04-17,2025-04-17,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-6.734693877551024,28.281341107871715,-35.016034985422735,-35.016034985422735
2025-04-18,2025-04-18,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-5.897959183673493,28.281341107871715,-34.1793002915452,-34.1793002915452
2025-04-19,2025-04-19,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,12.020408163265301,28.281341107871715,-16.260932944606413,-16.260932944606413
2025-04-20,2025-04-20,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-1.1428571428571672,28.281341107871715,-29.42419825072888,-29.42419825072888
2025-04-21,2025-04-21,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-7.285714285714278,28.281341107871715,-35.56705539358599,-35.56705539358599
2025-04-22,2025-04-22,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,12.469387755102048,28.281341107871715,-15.811953352769667,-15.811953352769667
2025-04-23,2025-04-23,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,8.142857142857167,28.281341107871715,-20.138483965014547,-20.138483965014547
2025-04-24,2025-04-24,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-6.428571428571445,28.281341107871715,-34.709912536443156,-34.709912536443156
2025-04-25,2025-04-25,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-7.285714285714278,28.281341107871715,-35.56705539358599,-35.56705539358599
2025-04-26,2025-04-26,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,16.469387755102048,28.281341107871715,-11.811953352769667,-11.811953352769667
2025-04-27,2025-04-27,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-5.408163265306143,28.281341107871715,-33.689504373177854,-33.689504373177854
2025-04-28,2025-04-28,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-6.81632653061223,28.281341107871715,-35.09766763848394,-35.09766763848394
2025-04-29,2025-04-29,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,10.775510204081627,28.281341107871715,-17.505830903790088,-17.505830903790088
2025-04-30,2025-04-30,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,10.428571428571445,28.281341107871715,-17.85276967930027,-17.85276967930027
2025-05-01,2025-05-01,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,7.265306122448976,28.281341107871715,-21.01603498542274,-21.01603498542274
2025-05-02,2025-05-02,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,0.2653061224489761,28.281341107871715,-28.01603498542274,-28.01603498542274
2025-05-03,2025-05-03,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,34.65306122448982,28.281341107871715,6.3717201166181034,6.3717201166181034
2025-05-04,2025-05-04,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,2.346938775510182,28.281341107871715,-25.934402332361532,-25.934402332361532
2025-05-05,2025-05-05,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,4.102040816326507,28.281341107871715,-24.179300291545207,-24.179300291545207
2025-05-06,2025-05-06,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,17.918367346938794,28.281341107871715,-10.36297376093292,-10.36297376093292
2025-05-07,2025-05-07,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,15.979591836734699,28.281341107871715,-12.301749271137016,-12.301749271137016
2025-05-08,2025-05-08,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,1.122448979591809,28.281341107871715,-27.158892128279906,-27.158892128279906
2025-05-09,2025-05-09,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,0.12244897959180889,28.281341107871715,-28.158892128279906,-28.158892128279906
2025-05-10,2025-05-10,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-2.0612244897959044,28.281341107871715,-30.34256559766762,-30.34256559766762
2025-05-11,2025-05-11,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-29.67346938775512,28.281341107871715,-57.95481049562683,-57.95481049562683
2025-05-12,2025-05-12,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-29.67346938775512,28.281341107871715,-57.95481049562683,-57.95481049562683
2025-05-13,2025-05-13,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-9.142857142857167,28.281341107871715,-37.42419825072888,-37.42419825072888
2025-05-14,2025-05-14,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-14.469387755102048,28.281341107871715,-42.75072886297376,-42.75072886297376
2025-05-15,2025-05-15,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-29.387755102040842,28.281341107871715,-57.66909620991255,-57.66909620991255
2025-05-16,2025-05-16,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-30.775510204081627,28.281341107871715,-59.05685131195334,-59.05685131195334
2025-05-17,2025-05-17,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-3.1020408163265074,28.281341107871715,-31.383381924198222,-31.383381924198222
2025-05-18,2025-05-18,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-33.12244897959181,28.281341107871715,-61.40379008746352,-61.40379008746352
2025-05-19,2025-05-19,stress,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-34.755102040816325,28.281341107871715,-63.036443148688036,-63.036443148688036
2025-05-20,2025-05-20,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-18.265306122448976,28.281341107871715,-46.54664723032069,-46.54664723032069
2025-05-21,2025-05-21,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-19.387755102040842,28.281341107871715,-47.66909620991255,-47.66909620991255
2025-05-22,2025-05-22,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-42.918367346938794,28.281341107871715,-71.1997084548105,-71.1997084548105
2025-05-23,2025-05-23,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-40.0204081632653,28.281341107871715,-68.30174927113701,-68.30174927113701
2025-05-24,2025-05-24,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-11.387755102040842,28.281341107871715,-39.66909620991255,-39.66909620991255
2025-05-25,2025-05-25,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-14.428571428571445,28.281341107871715,-42.709912536443156,-42.709912536443156
2025-05-26,2025-05-26,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-40.48979591836735,28.281341107871715,-68.77113702623906,-68.77113702623906
2025-05-27,2025-05-27,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-23.32653061224488,28.281341107871715,-51.60787172011659,-51.60787172011659
2025-05-28,2025-05-28,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-25.346938775510182,28.281341107871715,-53.62827988338189,-53.62827988338189
2025-05-29,2025-05-29,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-39.081632653061206,28.281341107871715,-67.36297376093292,-67.36297376093292
2025-05-30,2025-05-30,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-39.46938775510205,28.281341107871715,-67.75072886297376,-67.75072886297376
2025-05-31,2025-05-31,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-21.469387755102048,28.281341107871715,-49.75072886297376,-49.75072886297376
2025-06-01,2025-06-01,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-40.081632653061206,28.281341107871715,-68.36297376093292,-68.36297376093292
2025-06-02,2025-06-02,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-41.9591836734694,28.281341107871715,-70.24052478134111,-70.24052478134111
2025-06-03,2025-06-03,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-25.734693877551024,28.281341107871715,-54.016034985422735,-54.016034985422735
2025-06-04,2025-06-04,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-27.040816326530603,28.281341107871715,-55.322157434402314,-55.322157434402314
2025-06-05,2025-06-05,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-43.12244897959181,28.281341107871715,-71.40379008746352,-71.40379008746352
2025-06-06,2025-06-06,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-48.755102040816325,28.281341107871715,-77.03644314868804,-77.03644314868804
2025-06-07,2025-06-07,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-32.755102040816325,28.281341107871715,-61.036443148688036,-61.036443148688036
2025-06-08,2025-06-08,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-48.448979591836746,28.281341107871715,-76.73032069970846,-76.73032069970846
2025-06-09,2025-06-09,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-49.87755102040819,28.281341107871715,-78.1588921282799,-78.1588921282799
2025-06-10,2025-06-10,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-36.918367346938794,28.281341107871715,-65.1997084548105,-65.1997084548105
2025-06-11,2025-06-11,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-37.244897959183675,28.281341107871715,-65.52623906705539,-65.52623906705539
2025-06-12,2025-06-12,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-50.244897959183675,28.281341107871715,-78.52623906705539,-78.52623906705539
2025-06-13,2025-06-13,interim,arr,scheduled_ops,Scheduled operations,ops/day,1.0,-54.10204081632651,28.281341107871715,-82.38338192419822,-82.38338192419822
